Year,Month,Sri_Lanka_Dollar Rate(LKR),Estate,Price,Month_Encoded,Estate_Encoded,Time_Index
-1.7255270525327775,July,-1.1188030576639245,Kendalanda,75.0,-0.15422424375538193,-1.224744871391589,-1.7351006258187047
-1.7255270525327775,August,-1.1197193544001465,Kendalanda,75.0,-1.3046537377144478,-1.224744871391589,-1.835098072618864
-1.7255270525327775,September,-1.1180176604614485,Kendalanda,70.0,1.571419997183217,-1.224744871391589,-1.585104455618466
-1.7255270525327775,October,-1.1123889805103697,Kendalanda,68.77,1.2838126236934504,-1.224744871391589,-1.6101038173185058
-1.7255270525327775,November,-1.108331094964243,Kendalanda,67.5,0.996205250203684,-1.224744871391589,-1.6351031790185455
-1.7255270525327775,December,-1.105320405688085,Kendalanda,66.27,-1.0170463642246814,-1.224744871391589,-1.8100987109188242
-1.4248670358035762,January,-1.096681036460848,Kendalanda,65.0,-0.4418316172451484,-1.224744871391589,-1.460107647118267
-1.4248670358035762,February,-1.0858163751599286,Kendalanda,62.0,-0.7294389907349149,-1.224744871391589,-1.4851070088183067
-1.4248670358035762,March,-1.081758489613802,Kendalanda,73.0,0.420990503224151,-1.224744871391589,-1.3851095620181475
-1.4248670358035762,April,-1.0791404989388818,Kendalanda,73.0,-1.5922611112042144,-1.224744871391589,-1.5601050939184262
-1.4248670358035762,May,-1.0757371110614855,Kendalanda,61.0,0.7085978767139175,-1.224744871391589,-1.3601102003181078
-1.4248670358035762,June,-1.071679225515359,Kendalanda,62.1,0.13338312973438454,-1.224744871391589,-1.4101089237181874
-1.4248670358035762,July,-1.0699775315766609,Kendalanda,80.0,-0.15422424375538193,-1.224744871391589,-1.435108285418227
-1.4248670358035762,August,-1.0665741436992642,Kendalanda,59.0,-1.3046537377144478,-1.224744871391589,-1.5351057322183863
-1.4248670358035762,September,-0.9940558020039717,Kendalanda,55.0,1.571419997183217,-1.224744871391589,-1.2851121152179883
-1.4248670358035762,October,-0.9744208719420694,Kendalanda,59.0,1.2838126236934504,-1.224744871391589,-1.3101114769180282
-1.4248670358035762,November,-0.9632944115736581,Kendalanda,64.0,0.996205250203684,-1.224744871391589,-1.335110838618068
-1.4248670358035762,December,-0.9443139791804858,Kendalanda,62.0,-1.0170463642246814,-1.224744871391589,-1.5101063705183466
-1.124207019074375,January,-0.9390779978306454,Kendalanda,62.76,-0.4418316172451484,-1.224744871391589,-1.1601153067177892
-1.124207019074375,February,-0.935805509486995,Kendalanda,63.52,-0.7294389907349149,-1.224744871391589,-1.185114668417829
-1.124207019074375,March,-0.929915030468424,Kendalanda,64.24,0.420990503224151,-1.224744871391589,-1.0851172216176699
-1.124207019074375,April,-0.9240245514498535,Kendalanda,65.0,-1.5922611112042144,-1.224744871391589,-1.2601127535179484
-1.124207019074375,May,-0.9194430677687431,Kendalanda,66.48,0.7085978767139175,-1.224744871391589,-1.06011785991763
-1.124207019074375,June,-0.921406560774933,Kendalanda,68.0,0.13338312973438454,-1.224744871391589,-1.1101165833177096
-1.124207019074375,July,-0.9181340724312826,Kendalanda,71.0,-0.15422424375538193,-1.224744871391589,-1.1351159450177495
-1.124207019074375,August,-0.9155160817563625,Kendalanda,75.0,-1.3046537377144478,-1.224744871391589,-1.2351133918179087
-1.124207019074375,September,-0.9102801004065217,Kendalanda,79.0,1.571419997183217,-1.224744871391589,-0.9851197748175107
-1.124207019074375,October,-0.8978446447006504,Kendalanda,83.92,1.2838126236934504,-1.224744871391589,-1.0101191365175504
-1.124207019074375,November,-0.8827911983198585,Kendalanda,89.0,0.996205250203684,-1.224744871391589,-1.0351184982175903
-1.124207019074375,December,-0.8690467472765268,Kendalanda,88.0,-1.0170463642246814,-1.224744871391589,-1.2101140301178688
-0.8235470023451738,January,-0.8579202869081155,Kendalanda,88.0,-0.4418316172451484,-1.224744871391589,-0.8601229663173117
-0.8235470023451738,February,-0.8461393288709741,Kendalanda,89.0,-0.7294389907349149,-1.224744871391589,-0.8851223280173515
-0.8235470023451738,March,-0.8350128685025628,Kendalanda,93.0,0.420990503224151,-1.224744871391589,-0.7851248812171923
-0.8235470023451738,April,-0.8278133941465322,Kendalanda,99.0,-1.5922611112042144,-1.224744871391589,-0.9601204131174709
-0.8235470023451738,May,-0.8238864081341516,Kendalanda,99.0,0.7085978767139175,-1.224744871391589,-0.7601255195171525
-0.8235470023451738,June,-0.8186504267843109,Kendalanda,96.0,0.13338312973438454,-1.224744871391589,-0.8101242429172321
-0.8235470023451738,July,-0.8127599477657403,Kendalanda,88.0,-0.15422424375538193,-1.224744871391589,-0.8351236046172719
-0.8235470023451738,August,-0.8173414314468508,Kendalanda,95.0,-1.3046537377144478,-1.224744871391589,-0.9351210514174311
-0.8235470023451738,September,-0.8153779384406605,Kendalanda,98.0,1.571419997183217,-1.224744871391589,-0.685127434417033
-0.8235470023451738,October,-0.80948745942209,Kendalanda,99.0,1.2838126236934504,-1.224744871391589,-0.7101267961170729
-0.8235470023451738,November,-0.8114509524282802,Kendalanda,94.0,0.996205250203684,-1.224744871391589,-0.7351261578171127
-0.8235470023451738,December,-0.8193049244530412,Kendalanda,92.0,-1.0170463642246814,-1.224744871391589,-0.9101216897173913
-0.5228869856159725,January,-0.8068694687471695,Kendalanda,93.0,-0.4418316172451484,-1.224744871391589,-0.560130625916834
-0.5228869856159725,February,-0.7924705200351078,Kendalanda,94.0,-0.7294389907349149,-1.224744871391589,-0.5851299876168738
-0.5228869856159725,March,-0.784616548010347,Kendalanda,95.0,0.420990503224151,-1.224744871391589,-0.4851325408167146
-0.5228869856159725,April,-0.7761080783168559,Kendalanda,96.02,-1.5922611112042144,-1.224744871391589,-0.6601280727169933
-0.5228869856159725,May,-0.7532006599113031,Kendalanda,97.0,0.7085978767139175,-1.224744871391589,-0.4601331791166748
-0.5228869856159725,June,-0.7394562088679717,Kendalanda,98.0,0.13338312973438454,-1.224744871391589,-0.5101319025167543
-0.5228869856159725,July,-0.7283297484995601,Kendalanda,99.0,-0.15422424375538193,-1.224744871391589,-0.5351312642167941
-0.5228869856159725,August,-0.7100038137751182,Kendalanda,100.0,-1.3046537377144478,-1.224744871391589,-0.6351287110169535
-0.5228869856159725,September,-0.6301550981900484,Kendalanda,102.0,1.571419997183217,-1.224744871391589,-0.3851350940165554
-0.5228869856159725,October,-0.5817222707040229,Kendalanda,104.0,1.2838126236934504,-1.224744871391589,-0.4101344557165952
-0.5228869856159725,November,-0.5143090108248248,Kendalanda,106.0,0.996205250203684,-1.224744871391589,-0.435133817416635
-0.5228869856159725,December,-0.4501682392892772,Kendalanda,108.0,-1.0170463642246814,-1.224744871391589,-0.6101293493169136
-0.2222269688867712,January,-0.43904177892086593,Kendalanda,108.0,-0.4418316172451484,-1.224744871391589,-0.26013828551635637
-0.2222269688867712,February,-0.4743846530322903,Kendalanda,108.0,-0.7294389907349149,-1.224744871391589,-0.2851376472163962
-0.2222269688867712,March,-0.4907470947505423,Kendalanda,107.0,0.420990503224151,-1.224744871391589,-0.18514020041623694
-0.2222269688867712,April,-0.5339439408867271,Kendalanda,105.0,-1.5922611112042144,-1.224744871391589,-0.3601357323165156
-0.2222269688867712,May,-0.5162725038310152,Kendalanda,106.0,0.7085978767139175,-1.224744871391589,-0.16014083871619714
-0.2222269688867712,June,-0.5084185318062543,Kendalanda,107.0,0.13338312973438454,-1.224744871391589,-0.21013956211627674
-0.2222269688867712,July,-0.5182359968372054,Kendalanda,106.0,-0.15422424375538193,-1.224744871391589,-0.23513892381631654
-0.2222269688867712,August,-0.4900925970818121,Kendalanda,108.0,-1.3046537377144478,-1.224744871391589,-0.3351363706164758
-0.2222269688867712,September,-0.4521317322954675,Kendalanda,110.0,1.571419997183217,-1.224744871391589,-0.08514275361607773
-0.2222269688867712,October,-0.4468957509456268,Kendalanda,111.0,1.2838126236934504,-1.224744871391589,-0.11014211531611753
-0.2222269688867712,November,-0.46456718800133917,Kendalanda,110.0,0.996205250203684,-1.224744871391589,-0.13514147701615734
-0.2222269688867712,December,-0.44820474628308726,Kendalanda,111.0,-1.0170463642246814,-1.224744871391589,-0.310137008916436
0.07843304784243005,January,-0.4455867556081667,Kendalanda,112.0,-0.4418316172451484,-1.224744871391589,0.03985405488412129
0.07843304784243005,February,-0.44296876493324655,Kendalanda,113.0,-0.7294389907349149,-1.224744871391589,0.014854693184081488
0.07843304784243005,March,-0.3984629234596012,Kendalanda,114.45,0.420990503224151,-1.224744871391589,0.11485213998424071
0.07843304784243005,April,-0.3081422451748504,Kendalanda,116.0,-1.5922611112042144,-1.224744871391589,-0.060143391916037924
0.07843304784243005,May,-0.36377454701690703,Kendalanda,115.0,0.7085978767139175,-1.224744871391589,0.1398515016842805
0.07843304784243005,June,-0.3912634491035702,Kendalanda,114.0,0.13338312973438454,-1.224744871391589,0.0898527782842009
0.07843304784243005,July,-0.3892999560973803,Kendalanda,114.0,-0.15422424375538193,-1.224744871391589,0.06485341658416109
0.07843304784243005,August,-0.39977191879706125,Kendalanda,113.0,-1.3046537377144478,-1.224744871391589,-0.03514403021599812
0.07843304784243005,September,-0.40369890480944187,Kendalanda,112.0,1.571419997183217,-1.224744871391589,0.21484958678439992
0.07843304784243005,October,-0.4089348861592826,Kendalanda,111.0,1.2838126236934504,-1.224744871391589,0.1898502250843601
0.07843304784243005,November,-0.4004264164657915,Kendalanda,112.0,0.996205250203684,-1.224744871391589,0.1648508633843203
0.07843304784243005,December,-0.3722830167103981,Kendalanda,114.0,-1.0170463642246814,-1.224744871391589,-0.010144668515958315
0.3790930645716313,January,-0.3199232032119919,Kendalanda,116.0,-0.4418316172451484,-1.224744871391589,0.3398463952845989
0.3790930645716313,February,-0.2767263570758066,Kendalanda,118.0,-0.7294389907349149,-1.224744871391589,0.3148470335845591
0.3790930645716313,March,-0.22894802725851127,Kendalanda,120.0,0.420990503224151,-1.224744871391589,0.41484448038471833
0.3790930645716313,April,-0.21651257155263956,Kendalanda,121.0,-1.5922611112042144,-1.224744871391589,0.23984894848443972
0.3790930645716313,May,-0.21127659020279888,Kendalanda,121.98,0.7085978767139175,-1.224744871391589,0.43984384208475813
0.3790930645716313,June,-0.20342261817803803,Kendalanda,123.0,0.13338312973438454,-1.224744871391589,0.3898451186846785
0.3790930645716313,July,-0.19949563216565777,Kendalanda,124.0,-0.15422424375538193,-1.224744871391589,0.3648457569846387
0.3790930645716313,August,-0.18967816713470662,Kendalanda,125.0,-1.3046537377144478,-1.224744871391589,0.2648483101844795
0.3790930645716313,September,-0.17986070210375546,Kendalanda,126.0,1.571419997183217,-1.224744871391589,0.5148419271848775
0.3790930645716313,October,-0.17397022308518453,Kendalanda,127.0,1.2838126236934504,-1.224744871391589,0.48984256548483773
0.3790930645716313,November,-0.16807974406661397,Kendalanda,128.0,0.996205250203684,-1.224744871391589,0.46484320378479793
0.3790930645716313,December,-0.1667707487291539,Kendalanda,129.0,-1.0170463642246814,-1.224744871391589,0.2898476718845193
0.6797530813008326,January,-0.1772427114288349,Kendalanda,106.0,-0.4418316172451484,-1.224744871391589,0.6398387356850765
0.6797530813008326,February,-0.17331572541645468,Kendalanda,115.0,-0.7294389907349149,-1.224744871391589,0.6148393739850367
0.6797530813008326,March,0.7815963732607283,Kendalanda,137.0,0.420990503224151,-1.224744871391589,0.714836820785196
0.6797530813008326,April,1.4982713205201632,Kendalanda,205.0,-1.5922611112042144,-1.224744871391589,0.5398412888849173
0.6797530813008326,May,1.8654445126777368,Kendalanda,220.0,0.7085978767139175,-1.224744871391589,0.7398361824852357
0.6797530813008326,June,1.8948969077705904,Kendalanda,217.0,0.13338312973438454,-1.224744871391589,0.6898374590851561
0.6797530813008326,July,1.9040598751328113,Kendalanda,243.0,-0.15422424375538193,-1.224744871391589,0.6648380973851163
0.6797530813008326,August,1.9073323634764616,Kendalanda,233.0,-1.3046537377144478,-1.224744871391589,0.5648406505849571
0.6797530813008326,September,1.9184588238448732,Kendalanda,240.0,1.571419997183217,-1.224744871391589,0.8148342675853552
0.6797530813008326,October,1.939402749244236,Kendalanda,237.0,1.2838126236934504,-1.224744871391589,0.7898349058853154
0.6797530813008326,November,1.9564196886312175,Kendalanda,220.0,0.996205250203684,-1.224744871391589,0.7648355441852756
0.6797530813008326,December,1.9727821303494695,Kendalanda,238.0,-1.0170463642246814,-1.224744871391589,0.5898400122849969
0.9804130980300338,January,1.9825995953804205,Kendalanda,240.0,-0.4418316172451484,-1.224744871391589,0.9398310760855543
0.9804130980300338,February,1.9446387305940764,Kendalanda,230.0,-0.7294389907349149,-1.224744871391589,0.9148317143855144
0.9804130980300338,March,1.4321670559784259,Kendalanda,205.6,0.420990503224151,-1.224744871391589,1.0148291611856737
0.9804130980300338,April,1.3974786795357315,Kendalanda,198.0,-1.5922611112042144,-1.224744871391589,0.839833629285395
0.9804130980300338,May,1.179530955848616,Kendalanda,166.1,0.7085978767139175,-1.224744871391589,1.0398285228857134
0.9804130980300338,June,1.040122952409109,Kendalanda,160.0,0.13338312973438454,-1.224744871391589,0.9898297994856339
0.9804130980300338,July,1.266579145789716,Kendalanda,169.0,-0.15422424375538193,-1.224744871391589,0.9648304377855941
0.9804130980300338,August,1.3673717867741477,Kendalanda,180.4,-1.3046537377144478,-1.224744871391589,0.8648329909854348
0.9804130980300338,September,1.4230040886162043,Kendalanda,190.0,1.571419997183217,-1.224744871391589,1.1148266079858329
0.9804130980300338,October,1.4334760513158857,Kendalanda,180.0,1.2838126236934504,-1.224744871391589,1.089827246285793
0.9804130980300338,November,1.462928446408739,Kendalanda,174.0,0.996205250203684,-1.224744871391589,1.0648278845857533
0.9804130980300338,December,1.445911507021757,Kendalanda,190.0,-1.0170463642246814,-1.224744871391589,0.8898323526854746
1.2810731147592351,January,1.3712987727865282,Kendalanda,207.0,-0.4418316172451484,-1.224744871391589,1.2398234164860318
1.2810731147592351,February,1.2626521597773352,Kendalanda,214.0,-0.7294389907349149,-1.224744871391589,1.214824054785992
1.2810731147592351,March,1.172331481492585,Kendalanda,211.0,0.420990503224151,-1.224744871391589,1.3148215015861513
1.2810731147592351,April,1.0879012822264051,Kendalanda,192.0,-1.5922611112042144,-1.224744871391589,1.1398259696858726
1.2810731147592351,May,1.1055727192821168,Kendalanda,199.0,0.7085978767139175,-1.224744871391589,1.339820863286191
1.2810731147592351,June,1.1618595187929035,Kendalanda,198.0,0.13338312973438454,-1.224744871391589,1.2898221398861114
1.2810731147592351,July,1.1461515747433817,Kendalanda,200.0,-0.15422424375538193,-1.224744871391589,1.2648227781860717
1.2810731147592351,August,1.101645733269737,Kendalanda,194.0,-1.3046537377144478,-1.224744871391589,1.1648253313859125
1.2810731147592351,September,1.1219351610003687,Kendalanda,191.0,1.571419997183217,-1.224744871391589,1.4148189483863105
1.2810731147592351,October,1.040122952409109,Kendalanda,185.0,1.2838126236934504,-1.224744871391589,1.3898195866862706
1.2810731147592351,November,1.0093615619787957,Kendalanda,174.0,0.996205250203684,-1.224744871391589,1.364820224986231
1.2810731147592351,December,0.9916901249230834,Kendalanda,185.0,-1.0170463642246814,-1.224744871391589,1.1898246930859522
1.5817331314884364,January,1.013943045659906,Kendalanda,194.0,-0.4418316172451484,-1.224744871391589,1.5398157568865094
1.5817331314884364,February,1.0433954407527593,Kendalanda,187.0,-0.7294389907349149,-1.224744871391589,1.5148163951864697
1.5817331314884364,March,1.062375873145932,Kendalanda,191.0,0.420990503224151,-1.224744871391589,1.614813841986629
1.5817331314884364,April,1.040777450077839,Kendalanda,182.0,-1.5922611112042144,-1.224744871391589,1.4398183100863502
1.5817331314884364,May,1.0702298451706926,Kendalanda,184.0,0.7085978767139175,-1.224744871391589,1.6398132036866686
1.5817331314884364,June,1.0793928125329135,Kendalanda,175.0,0.13338312973438454,-1.224744871391589,1.589814480286589
1.5817331314884364,July,1.089864775232595,Kendalanda,187.0,-0.15422424375538193,-1.224744871391589,1.5648151185865493
1.5817331314884364,August,1.0957552542511655,Kendalanda,191.0,-1.3046537377144478,-1.224744871391589,1.46481767178639
1.5817331314884364,September,1.1199716679941787,Kendalanda,187.0,1.571419997183217,-1.224744871391589,1.7148112887867881
1.5817331314884364,October,1.1402610957248112,Kendalanda,187.0,1.2838126236934504,-1.224744871391589,1.6898119270867484
1.5817331314884364,November,1.1710224861551244,Kendalanda,187.0,0.996205250203684,-1.224744871391589,1.6648125653867085
1.5817331314884364,December,1.1906574162170267,Kendalanda,194.0,-1.0170463642246814,-1.224744871391589,1.4898170334864298
-1.7255270525327775,July,-1.1188030576639245,Lassakanda,68.0,-0.15422424375538193,0.0,-1.7351006258187047
-1.7255270525327775,August,-1.1197193544001465,Lassakanda,66.0,-1.3046537377144478,0.0,-1.835098072618864
-1.7255270525327775,September,-1.1180176604614485,Lassakanda,66.0,1.571419997183217,0.0,-1.585104455618466
-1.7255270525327775,October,-1.1123889805103697,Lassakanda,64.0,1.2838126236934504,0.0,-1.6101038173185058
-1.7255270525327775,November,-1.108331094964243,Lassakanda,64.0,0.996205250203684,0.0,-1.6351031790185455
-1.7255270525327775,December,-1.105320405688085,Lassakanda,63.0,-1.0170463642246814,0.0,-1.8100987109188242
-1.4248670358035762,January,-1.096681036460848,Lassakanda,60.0,-0.4418316172451484,0.0,-1.460107647118267
-1.4248670358035762,February,-1.0858163751599286,Lassakanda,57.0,-0.7294389907349149,0.0,-1.4851070088183067
-1.4248670358035762,March,-1.081758489613802,Lassakanda,57.0,0.420990503224151,0.0,-1.3851095620181475
-1.4248670358035762,April,-1.0791404989388818,Lassakanda,60.0,-1.5922611112042144,0.0,-1.5601050939184262
-1.4248670358035762,May,-1.0757371110614855,Lassakanda,64.0,0.7085978767139175,0.0,-1.3601102003181078
-1.4248670358035762,June,-1.071679225515359,Lassakanda,64.0,0.13338312973438454,0.0,-1.4101089237181874
-1.4248670358035762,July,-1.0699775315766609,Lassakanda,62.03,-0.15422424375538193,0.0,-1.435108285418227
-1.4248670358035762,August,-1.0665741436992642,Lassakanda,60.0,-1.3046537377144478,0.0,-1.5351057322183863
-1.4248670358035762,September,-0.9940558020039717,Lassakanda,52.0,1.571419997183217,0.0,-1.2851121152179883
-1.4248670358035762,October,-0.9744208719420694,Lassakanda,55.0,1.2838126236934504,0.0,-1.3101114769180282
-1.4248670358035762,November,-0.9632944115736581,Lassakanda,61.64,0.996205250203684,0.0,-1.335110838618068
-1.4248670358035762,December,-0.9443139791804858,Lassakanda,60.83,-1.0170463642246814,0.0,-1.5101063705183466
-1.124207019074375,January,-0.9390779978306454,Lassakanda,60.0,-0.4418316172451484,0.0,-1.1601153067177892
-1.124207019074375,February,-0.935805509486995,Lassakanda,58.0,-0.7294389907349149,0.0,-1.185114668417829
-1.124207019074375,March,-0.929915030468424,Lassakanda,59.0,0.420990503224151,0.0,-1.0851172216176699
-1.124207019074375,April,-0.9240245514498535,Lassakanda,63.0,-1.5922611112042144,0.0,-1.2601127535179484
-1.124207019074375,May,-0.9194430677687431,Lassakanda,67.0,0.7085978767139175,0.0,-1.06011785991763
-1.124207019074375,June,-0.921406560774933,Lassakanda,66.0,0.13338312973438454,0.0,-1.1101165833177096
-1.124207019074375,July,-0.9181340724312826,Lassakanda,69.93,-0.15422424375538193,0.0,-1.1351159450177495
-1.124207019074375,August,-0.9155160817563625,Lassakanda,74.0,-1.3046537377144478,0.0,-1.2351133918179087
-1.124207019074375,September,-0.9102801004065217,Lassakanda,79.0,1.571419997183217,0.0,-0.9851197748175107
-1.124207019074375,October,-0.8978446447006504,Lassakanda,86.0,1.2838126236934504,0.0,-1.0101191365175504
-1.124207019074375,November,-0.8827911983198585,Lassakanda,88.0,0.996205250203684,0.0,-1.0351184982175903
-1.124207019074375,December,-0.8690467472765268,Lassakanda,88.0,-1.0170463642246814,0.0,-1.2101140301178688
-0.8235470023451738,January,-0.8579202869081155,Lassakanda,88.0,-0.4418316172451484,0.0,-0.8601229663173117
-0.8235470023451738,February,-0.8461393288709741,Lassakanda,89.0,-0.7294389907349149,0.0,-0.8851223280173515
-0.8235470023451738,March,-0.8350128685025628,Lassakanda,92.0,0.420990503224151,0.0,-0.7851248812171923
-0.8235470023451738,April,-0.8278133941465322,Lassakanda,97.0,-1.5922611112042144,0.0,-0.9601204131174709
-0.8235470023451738,May,-0.8238864081341516,Lassakanda,95.03,0.7085978767139175,0.0,-0.7601255195171525
-0.8235470023451738,June,-0.8186504267843109,Lassakanda,93.0,0.13338312973438454,0.0,-0.8101242429172321
-0.8235470023451738,July,-0.8127599477657403,Lassakanda,91.52,-0.15422424375538193,0.0,-0.8351236046172719
-0.8235470023451738,August,-0.8173414314468508,Lassakanda,90.0,-1.3046537377144478,0.0,-0.9351210514174311
-0.8235470023451738,September,-0.8153779384406605,Lassakanda,99.0,1.571419997183217,0.0,-0.685127434417033
-0.8235470023451738,October,-0.80948745942209,Lassakanda,99.0,1.2838126236934504,0.0,-0.7101267961170729
-0.8235470023451738,November,-0.8114509524282802,Lassakanda,93.41,0.996205250203684,0.0,-0.7351261578171127
-0.8235470023451738,December,-0.8193049244530412,Lassakanda,88.0,-1.0170463642246814,0.0,-0.9101216897173913
-0.5228869856159725,January,-0.8068694687471695,Lassakanda,89.0,-0.4418316172451484,0.0,-0.560130625916834
-0.5228869856159725,February,-0.7924705200351078,Lassakanda,90.0,-0.7294389907349149,0.0,-0.5851299876168738
-0.5228869856159725,March,-0.784616548010347,Lassakanda,91.0,0.420990503224151,0.0,-0.4851325408167146
-0.5228869856159725,April,-0.7761080783168559,Lassakanda,92.0,-1.5922611112042144,0.0,-0.6601280727169933
-0.5228869856159725,May,-0.7532006599113031,Lassakanda,93.0,0.7085978767139175,0.0,-0.4601331791166748
-0.5228869856159725,June,-0.7394562088679717,Lassakanda,94.02,0.13338312973438454,0.0,-0.5101319025167543
-0.5228869856159725,July,-0.7283297484995601,Lassakanda,95.0,-0.15422424375538193,0.0,-0.5351312642167941
-0.5228869856159725,August,-0.7100038137751182,Lassakanda,96.0,-1.3046537377144478,0.0,-0.6351287110169535
-0.5228869856159725,September,-0.6301550981900484,Lassakanda,98.0,1.571419997183217,0.0,-0.3851350940165554
-0.5228869856159725,October,-0.5817222707040229,Lassakanda,99.97,1.2838126236934504,0.0,-0.4101344557165952
-0.5228869856159725,November,-0.5143090108248248,Lassakanda,102.0,0.996205250203684,0.0,-0.435133817416635
-0.5228869856159725,December,-0.4501682392892772,Lassakanda,104.0,-1.0170463642246814,0.0,-0.6101293493169136
-0.2222269688867712,January,-0.43904177892086593,Lassakanda,105.0,-0.4418316172451484,0.0,-0.26013828551635637
-0.2222269688867712,February,-0.4743846530322903,Lassakanda,103.95,-0.7294389907349149,0.0,-0.2851376472163962
-0.2222269688867712,March,-0.4907470947505423,Lassakanda,103.0,0.420990503224151,0.0,-0.18514020041623694
-0.2222269688867712,April,-0.5339439408867271,Lassakanda,101.0,-1.5922611112042144,0.0,-0.3601357323165156
-0.2222269688867712,May,-0.5162725038310152,Lassakanda,101.98,0.7085978767139175,0.0,-0.16014083871619714
-0.2222269688867712,June,-0.5084185318062543,Lassakanda,103.0,0.13338312973438454,0.0,-0.21013956211627674
-0.2222269688867712,July,-0.5182359968372054,Lassakanda,102.0,-0.15422424375538193,0.0,-0.23513892381631654
-0.2222269688867712,August,-0.4900925970818121,Lassakanda,104.0,-1.3046537377144478,0.0,-0.3351363706164758
-0.2222269688867712,September,-0.4521317322954675,Lassakanda,105.52,1.571419997183217,0.0,-0.08514275361607773
